algorithm,sample_fraction,n_neighbors,repeat,num_edges,compute_time
dmst,0.1,2,0,16258,0.4008032000000128
dmst,0.1,3,0,25034,0.3400726000000134
dmst,0.1,6,0,53146,0.328249999999997
umap,0.1,2,0,11204,1.8663883000000112
umap,0.1,3,0,21574,0.1235434000000168
umap,0.1,6,0,52102,0.1418726999999933
kmst,0.1,2,0,16258,2.029437999999999
kmst,0.1,3,0,25016,2.1712215999999955
kmst,0.1,6,0,53130,2.4215888000000234
dmst,0.18,2,0,29212,0.6278096000000062
dmst,0.18,3,0,45194,0.6367724000000123
dmst,0.18,6,0,96190,0.6322845000000257
umap,0.18,2,0,20312,0.2125995999999759
umap,0.18,3,0,38998,0.2116182999999978
umap,0.18,6,0,94256,0.2493857999999988
kmst,0.18,2,0,29216,10.089595499999971
kmst,0.18,3,0,45182,10.790853999999996
kmst,0.18,6,0,96144,12.111116400000014
dmst,0.32,2,0,51556,1.6076861999999892
dmst,0.32,3,0,80124,1.6078241000000162
dmst,0.32,6,0,171468,1.610441000000009
umap,0.32,2,0,36350,0.3688080000000013
umap,0.32,3,0,69830,0.4014716000000078
umap,0.32,6,0,167984,0.4560041999999953
kmst,0.32,2,0,51570,46.01276899999999
kmst,0.32,3,0,80070,51.2022068
kmst,0.32,6,0,171296,57.9591021
dmst,0.56,2,0,90042,4.247381300000001
dmst,0.56,3,0,140694,4.290806800000013
dmst,0.56,6,0,302238,4.296978800000005
umap,0.56,2,0,63958,0.7704014000000257
umap,0.56,3,0,122718,0.8040394999999876
umap,0.56,6,0,296076,0.9065458000000036
kmst,0.56,2,0,90068,188.19434470000004
kmst,0.56,3,0,140688,202.9486138
kmst,0.56,6,0,302084,231.75192660000005
dmst,1.0,2,0,160766,8.783418399999988
dmst,1.0,3,0,251234,8.975871699999999
dmst,1.0,6,0,541208,8.895198599999986
umap,1.0,2,0,114446,1.6834753000000546
umap,1.0,3,0,219638,1.746225699999968
umap,1.0,6,0,530196,1.94490380000002
kmst,1.0,2,0,160796,781.0903695
kmst,1.0,3,0,251130,842.2071718000002
kmst,1.0,6,0,540778,969.0523925000002
dmst,0.1,2,1,16156,0.3219726000000094
dmst,0.1,3,1,24946,0.3351384999999993
dmst,0.1,6,1,53200,0.3302659999999946
umap,0.1,2,1,11326,0.1349081000003025
umap,0.1,3,1,21622,0.1420677000000978
umap,0.1,6,1,52168,0.1585949999998774
kmst,0.1,2,1,16160,1.9985713999999464
kmst,0.1,3,1,24948,2.397672100000364
kmst,0.1,6,1,53190,2.387609999999768
dmst,0.18,2,1,29140,0.6572850000000017
dmst,0.18,3,1,45042,0.6545477000000233
dmst,0.18,6,1,95752,0.6490296000000058
umap,0.18,2,1,20270,0.208727600000202
umap,0.18,3,1,39002,0.2348403000000871
umap,0.18,6,1,93926,0.2567691999997805
kmst,0.18,2,1,29134,9.773743000000197
kmst,0.18,3,1,45042,10.448699000000031
kmst,0.18,6,1,95696,11.30008140000018
dmst,0.32,2,1,51612,1.8998809999999933
dmst,0.32,3,1,80140,1.8849639000000025
dmst,0.32,6,1,171936,1.86320360000002
umap,0.32,2,1,36322,0.3767754000000423
umap,0.32,3,1,70044,0.4002627999998367
umap,0.32,6,1,168738,0.454311399999824
kmst,0.32,2,1,51612,48.27612139999974
kmst,0.32,3,1,80112,52.44310850000011
kmst,0.32,6,1,171878,59.43562240000029
dmst,0.56,2,1,90312,4.3637940999999785
dmst,0.56,3,1,140494,4.296413299999983
dmst,0.56,6,1,301286,4.427533400000016
umap,0.56,2,1,63826,0.7844445000000633
umap,0.56,3,1,122636,0.7871663999999328
umap,0.56,6,1,295472,0.8865867999998045
kmst,0.56,2,1,90318,180.17610400000007
kmst,0.56,3,1,140476,191.7088408
kmst,0.56,6,1,301142,224.40725589999963
dmst,1.0,2,1,160790,8.878383900000017
dmst,1.0,3,1,251216,8.920438100000013
dmst,1.0,6,1,541090,9.151898100000013
umap,1.0,2,1,114338,1.6432511000002703
umap,1.0,3,1,219818,1.7494057000003522
umap,1.0,6,1,530234,1.9425344999999647
kmst,1.0,2,1,160796,786.2130132000002
kmst,1.0,3,1,251130,835.8807244
kmst,1.0,6,1,540778,957.8296891999998
dmst,0.1,2,2,16250,0.329081599999995
dmst,0.1,3,2,25098,0.3328414000000066
dmst,0.1,6,2,53068,0.3173749999999984
umap,0.1,2,2,11194,0.1310223000000405
umap,0.1,3,2,21534,0.1375607999998465
umap,0.1,6,2,51918,0.1617280000000391
kmst,0.1,2,2,16250,2.158208399999239
kmst,0.1,3,2,25090,2.2833088999996107
kmst,0.1,6,2,53048,2.5791817999997875
dmst,0.18,2,2,29142,0.7506132000000036
dmst,0.18,3,2,45170,0.7476293999999939
dmst,0.18,6,2,96300,0.7532906000000139
umap,0.18,2,2,20360,0.2247114000001602
umap,0.18,3,2,39144,0.2332206999999471
umap,0.18,6,2,94522,0.2649643000004289
kmst,0.18,2,2,29140,10.380720899999687
kmst,0.18,3,2,45160,11.127443099999256
kmst,0.18,6,2,96266,12.325650800000403
dmst,0.32,2,2,51520,2.043158500000004
dmst,0.32,3,2,80040,1.960229699999985
dmst,0.32,6,2,171882,1.9748124999999843
umap,0.32,2,2,36434,0.3752727999999479
umap,0.32,3,2,69848,0.413732600000003
umap,0.32,6,2,168370,0.4726857000005111
kmst,0.32,2,2,51536,48.49665080000068
kmst,0.32,3,2,80014,52.70952430000034
kmst,0.32,6,2,171792,63.550572099999954
dmst,0.56,2,2,90092,4.136750599999999
dmst,0.56,3,2,140610,4.181055999999984
dmst,0.56,6,2,301810,4.323023599999999
umap,0.56,2,2,63852,0.7885619999997289
umap,0.56,3,2,122554,0.7993762000005518
umap,0.56,6,2,295764,0.9190380000000004
kmst,0.56,2,2,90102,179.4350642999998
kmst,0.56,3,2,140574,199.0228903999996
kmst,0.56,6,2,301602,230.86925189999965
dmst,1.0,2,2,160790,8.98102270000004
dmst,1.0,3,2,251246,8.897371300000032
dmst,1.0,6,2,541132,9.044506700000056
umap,1.0,2,2,114368,1.6647972000000664
umap,1.0,3,2,219662,1.771839799999725
umap,1.0,6,2,530222,1.9400751000002856
kmst,1.0,2,2,160796,777.3599860999993
kmst,1.0,3,2,251130,839.6361023999998
kmst,1.0,6,2,540778,965.4696896000004
dmst,0.1,2,3,16146,0.3105219999999917
dmst,0.1,3,3,24994,0.3312394000000154
dmst,0.1,6,3,53150,0.3306653999999867
umap,0.1,2,3,11270,0.1232818999997107
umap,0.1,3,3,21568,0.1382109999995009
umap,0.1,6,3,52130,0.1471402999995916
kmst,0.1,2,3,16148,2.157315100001142
kmst,0.1,3,3,24974,2.2639163000003464
kmst,0.1,6,3,53136,2.521891399999731
dmst,0.18,2,3,29080,0.6231314000000339
dmst,0.18,3,3,45038,0.6334671999999841
dmst,0.18,6,3,96174,0.6322124999999801
umap,0.18,2,3,20418,0.2196350999984133
umap,0.18,3,3,39066,0.2173684999997931
umap,0.18,6,3,94240,0.2591609999999491
kmst,0.18,2,3,29102,10.12509090000094
kmst,0.18,3,3,45022,10.60878269999921
kmst,0.18,6,3,96104,11.916788599999563
dmst,0.32,2,3,51736,1.6386329000000046
dmst,0.32,3,3,80302,1.60707560000003
dmst,0.32,6,3,171738,1.575063600000021
umap,0.32,2,3,36250,0.3792393999992782
umap,0.32,3,3,69710,0.393119200000001
umap,0.32,6,3,168286,0.4751104000006307
kmst,0.32,2,3,51744,48.67113530000097
